Order,Entity Name,Attribute name,Storage Class,C Variable Name,HighEst Kind,HighEst Label,Description,Display Size,Format,,Attribute name
,Material Price Catalog,Reserved,,,MATLCAT_KIND,MATLCAT_MATL,Reserved,23,s
,Material Price Catalog,Reserved,,,MATLCAT_KIND,MATLCAT_UNITS,Reserved,4,c
,Material Price Catalog,Reserved,,,MATLCAT_KIND,MATLCAT_RATE,Reserved,10,"n$,.."
,Materials List,List-Total,Number,szListTotal,MATERIALS_KIND,MTOTALCOST,List-Total,,"N$,.."
,Materials List,Reserved,,,MATERIALS_KIND,MMATERIALS,Reserved,,S
,Materials List,Reserved,,,MATERIALS_KIND,MUNITSPERDAY,Reserved,,s
,Materials List,Infinity-Count,Number,szNumInfinities,MATERIALS_KIND,MQUANTITY,Infinity-Count,,"n,...."
,Materials List,Reserved,,,MATERIALS_KIND,MRATE,Reserved,,"N,...."
,Materials List,Reserved,,,MATERIALS_KIND,MUNITS,Reserved,,C
,Materials List,Reserved,,,MATERIALS_KIND,MCODE,Reserved,,S
,Project Header,Approved-by,String,szApprovedBy,HEADER_KIND,APPROVED_BY,Name of the person who approved this estimate.,14,s
,Project Header,Checked-by,String,szCheckedBy,HEADER_KIND,CHECKED_BY,Name of the person who checked this estimate.,14,s
,Project Header,Estimate-Date,Date,szEstimateDate,HEADER_KIND,CONTRACT_DATE,Date the estimate was prepared,25,d
,Project Header,Contract-Number,String,szContractNumber,HEADER_KIND,CONTRACT_NUM,The number used by the state to reference the contract containing this project.,14,s
,Project Header,County,List,szCounty,HEADER_KIND,COUNTY,The primary county containing this item.,59,ln
,Project Header,Date-Approved,Date,szDateApproved,HEADER_KIND,DATE_APPROVED,The date this estimate was approved (by Approved-by).,25,d
,Project Header,Date-Checked,Date,szDateChecked,HEADER_KIND,DATE_CHECKED,The date the completed estimate was checked for correctness.,25,d
,Project Header,Date-of-Letting,Date,szDateOfLetting,HEADER_KIND,DATE_OF_LETTING,The date the contract is to be let for bidding.,25,dn
,Project Header,District,String,szDistrict,HEADER_KIND,DISTRICT,The district is the main work district of the county.,25,S
,Project Header,Estimator,String,szEstimator,HEADER_KIND,ESTIMATOR,The name of the persone who produced the estimate.,59,s
,Project Header,File-Name,String,szFileName,HEADER_KIND,FILE_NAME,This field is used by HighEst to store the complete file name of the estimate (including path).  This field is updated after every File Save As or File Load command,,C
,Project Header,Header-Total-Link,Link,hItemList,HEADER_KIND,HEADER_TOTAL_LINK,This is a link to the project item list that the Total-Cost is attached to.,,
,Project Header,Project-Name,String,szProjectName,HEADER_KIND,PROJECT_NAME,"A short, descriptive name for the project being estimated",59,s
,Project Header,Project-User-List,Link,hUserList,HEADER_KIND,SECURITY_LINK,This is a handle to the project's user list.,,
,Project Header,Total-Cost,Number,szTotalCost,HEADER_KIND,TOTAL_COST,This field is the estimated total cost of the project.,59,"N$,.."
,Project Header,Work-Type,String,szWorkType,HEADER_KIND,WORKTYPE,The main type of work that the project entails.,14,kn
,Project User,User-Name,String,szUserName,SECURITY_KIND,USER_NAME,,8,Sn
,Project User,Permissions,String,szPermissions,SECURITY_KIND,USER_PERMS,,10,pn
,Project User List,Reserved,,,SECURITY_KIND,USER_NAME,Reserved,,Sn
,Project User List,Reserved,,,SECURITY_KIND,USER_PERMS,Reserved,,pn
,Reference Price,Price,Number,szPrice,REFPRICE_KIND,REFPRICE_PRICE,,9,"n$,.."
,Reference Price,Name,String,szName,REFPRICE_KIND,REFPRICE_NAME,,19,s
,Reference Price,Description,String,szDescription,REFPRICE_KIND,REFPRICE_DESCRIPTION,,47,m
,Reference Price Catalog,Reference-Count,Number,szRefCount,REFIND_KIND,,,,
,Reference Price Catalog,Reference-Price,Link,hRefPrice,REFIND_KIND,,,,
,Reg Coefficient,Coef-Type,String,szCoefType,BIDREGRESS_KIND,REGCOEFTYPE,,9,F
,Reg Coefficient,Coef-Index,String,szCoefIndex,BIDREGRESS_KIND,REGCOEFINDEX,,5,K
,Reg Coefficient,Coef-Value,Number,szCoefValue,BIDREGRESS_KIND,REGCOEFVALUE,,12,"N,...."
,Standard Item,Description,String,szDescription,ITEMCAT_KIND,ITEM_CAT_TITLE,,29,s
,Standard Item,Units,String,szUnits,ITEMCAT_KIND,ITEM_CAT_UNITS,,4,c
,Standard Item,Item-Number,String,szItemNumber,ITEMCAT_KIND,ITEM_CAT_ITEMNUM,,12,S
,Standard Item,Reserved,Link,,ITEMCAT_KIND,ITEM_CAT_ACTIVE_PR_BAS_LINK,Reserved,,
,Standard Item,Cost-Sheets,Link,hCostSheets,ITEMCAT_KIND,ITEM_CAT_COSTSHEET_LINK,,,
,Standard Item,Bid-Histories,Link,hBidHistories,ITEMCAT_KIND,ITEM_CAT_BIDHISTORY_LINK,,,
,Standard Item,Reference-Prices,Link,hReferencePrices,ITEMCAT_KIND,ITEM_CAT_REFERENCEPRICE_LINK,,,
,Standard Item,Assembly-Item-Lists,Link,hAssemblyItemLists,ITEMCAT_KIND,ITEM_CAT_ASSEMBLY_ITEM_LINK,,,
,Standard Item Catalog,Reserved,,,ITEMCAT_KIND,ITEM_CAT_TITLE,Reserved,,s
,Standard Item Catalog,Reserved,,,ITEMCAT_KIND,ITEM_CAT_UNITS,Reserved,,c
,Standard Item Catalog,Reserved,,,ITEMCAT_KIND,ITEM_CAT_ITEMNUM,Reserved,,S
,Standard Item Catalog,Reserved,Link,,ITEMCAT_KIND,ITEM_CAT_ACTIVE_PR_BAS_LINK,Reserved,,
,Standard Item Catalog,Reserved,Link,hCostSheets,ITEMCAT_KIND,ITEM_CAT_COSTSHEET_LINK,Reserved,,
,Standard Item Catalog,Reserved,Link,hBidHistories,ITEMCAT_KIND,ITEM_CAT_BIDHISTORY_LINK,Reserved,,
,Standard Item Catalog,Reserved,Link,hReferencePrices,ITEMCAT_KIND,ITEM_CAT_REFERENCEPRICE_LINK,Reserved,,
,Standard Item Catalog,Reserved,Link,hAssemblyItemLists,ITEMCAT_KIND,ITEM_CAT_ASSEMBLY_ITEM_LINK,Reserved,,
,User,User-Name,String,szUserName,USERCAT_KIND,USER_NAME,,8,Sn
,User,Permissions,String,szPermissions,USERCAT_KIND,USER_PERMS,,,s
,User,Real-Name,String,szRealName,USERCAT_KIND,USER_REALNAME,,24,s
,User,Password,String,szPassword,USERCAT_KIND,USER_PASSWORD,,,Wn
,User,Phone-Number,String,szPhoneNumber,USERCAT_KIND,USER_PHONENUMBER,,18,s
,User,Department,String,szDepartment,USERCAT_KIND,USER_DEPARTMENT,,10,s
,User,Preferences,String,szPreferences,USERCAT_KIND,USER_PREFERENCES,,,s
,User Catalog,Reserved,,,USERCAT_KIND,USER_NAME,Reserved,,Sn
,User Catalog,Reserved,,,USERCAT_KIND,USER_PERMS,Reserved,,s
,User Catalog,Reserved,,,USERCAT_KIND,USER_REALNAME,Reserved,,s
,User Catalog,Reserved,,,USERCAT_KIND,USER_PASSWORD,Reserved,,Wn
,User Catalog,Reserved,,,USERCAT_KIND,USER_PHONENUMBER,Reserved,,s
,User Catalog,Reserved,,,USERCAT_KIND,USER_DEPARTMENT,Reserved,,s
,User Catalog,Reserved,,,USERCAT_KIND,USER_PREFERENCES,Reserved,,s
